['0', '25', '56', '75', '229', '125', '150', '447', '11', '225', '398', '354', '300', '325', '350', '63', '400', '425', '450', '121']
['369', '116', '291', '312', '101', '126', '89', '30', '446', '226', '251', '276', '145', '91', '368', '376', '107', '389', '451', '476']
['2', '387', '333', '77', '102', '272', '152', '177', '497', '227', '252', '277', '215', '295', '352', '313', '402', '427', '452', '7']
['3', '431', '265', '78', '383', '128', '153', '178', '445', '22', '323', '266', '279', '440', '353', '378', '403', '284', '257', '478']
['207', '29', '54', '79', '104', '212', '154', '286', '204', '100', '61', '271', '377', '329', '342', '379', '404', '235', '93', '479']
['395', '176', '55', '80', '105', '58', '250', '180', '481', '142', '255', '190', '64', '330', '388', '380', '461', '430', '455', '108']
['6', '343', '50', '81', '106', '374', '156', '181', '82', '231', '66', '143', '487', '314', '18', '70', '406', '17', '155', '260']
['281', '148', '53', '345', '401', '399', '157', '182', '278', '46', '201', '322', '307', '134', '357', '362', '407', '332', '297', '302']
['240', '33', '47', '249', '480', '292', '158', '45', '208', '469', '258', '262', '457', '139', '358', '103', '234', '433', '458', '87']
['52', '34', '65', '496', '109', '110', '159', '184', '232', '331', '96', '468', '309', '16', '115', '384', '409', '434', '494', '484']
['10', '38', '60', '147', '432', '183', '470', '185', '136', '51', '282', '416', '310', '71', '166', '86', '410', '164', '137', '485']
['188', '112', '254', '428', '308', '347', '419', '270', '472', '318', '261', '26', '146', '336', '438', '287', '411', '436', '477', '486']
['12', '421', '62', '483', '355', '454', '72', '370', '413', '20', '73', '248', '417', '337', '382', '133', '169', '437', '462', '306']
['13', '35', '59', '88', '193', '373', '163', '200', '304', '238', '263', '288', '213', '285', '363', '36', '280', '361', '463', '236']
['14', '39', '299', '460', '114', '356', '197', '189', '24', '289', '264', '239', '149', '175', '364', '426', '471', '293', '228', '482']
['15', '40', '423', '90', '390', '140', '165', '129', '98', '346', '311', '290', '315', '340', '412', '391', '415', '195', '465', '490']
['334', '41', '256', '326', '32', '141', '49', '298', '216', '492', '69', '120', '199', '341', '414', '359', '221', '84', '83', '85']
['28', '42', '499', '92', '117', '205', '194', '192', '111', '242', '237', '491', '219', '275', '367', '316', '127', '442', '467', '230']
['131', '43', '68', '372', '441', '4', '168', '113', '218', '243', '268', '439', '488', '31', '132', '393', '418', '443', '385', '493']
['386', '44', '371', '94', '273', '144', '305', '167', '317', '244', '269', '294', '5', '179', '1', '394', '338', '444', '233', '459']
['267', '135', '381', '473', '274', '405', '170', '328', '203', '245', '220', '118', '375', '206', '187', '327', '186', '202', '160', '495']
['21', '209', '335', '259', '130', '8', '171', '196', '161', '246', '303', '464', '321', '210', '138', '396', '37', '453', '366', '319']
['296', '475', '162', '97', '122', '456', '172', '435', '222', '351', '365', '151', '241', '95', '217', '397', '422', '339', '211', '74']
['23', '48', '191', '489', '123', '344', '173', '198', '223', '19', '119', '429', '253', '348', '301', '420', '320', '448', '57', '498']
['214', '360', '27', '99', '124', '408', '174', '392', '224', '466', '283', '76', '324', '349', '9', '247', '424', '449', '474', '67']
